Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,5 SP,6 SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV,5 PV,6 PV
Wed Feb 14 16:36:43 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,118.67784881591797,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.07875,0.0,74.10374999999999,94.34584045410156,137.21728515625,20.0,1,8,0,1,15.0015,14.997,14.998
Wed Feb 14 16:36:53 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,121.85553741455078,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.08624999999999,0.0,74.09625,97.26225280761719,143.19137573242188,20.0,1,8,0,1,15.0015,14.995,15.0
Wed Feb 14 16:37:02 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,124.79615020751953,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.1075,100.1366958618164,148.8154296875,20.0,1,8,0,1,14.999,15.004,15.001
Wed Feb 14 16:37:12 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,127.8428726196289,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.07124999999999,0.0,74.10000000000001,103.20497131347656,154.51138305664062,20.0,1,8,0,1,14.999,15.003,15.002
Wed Feb 14 16:37:21 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,131.1067657470703,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.0925,106.14337158203125,160.07119750976562,20.0,1,8,0,1,14.99825,14.998,15.003
Wed Feb 14 16:37:31 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,134.4710693359375,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.09625,109.17955017089844,165.34048461914062,20.0,1,8,0,1,14.99825,15.002,15.0
Wed Feb 14 16:37:40 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,137.42210388183594,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.09625,112.15716552734375,170.64913940429688,20.0,1,8,0,1,14.996250000000002,15.005,15.002
Wed Feb 14 16:37:50 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,140.45217895507812,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.08875,115.3123550415039,176.00711059570312,20.0,1,8,0,1,14.996250000000002,14.995,14.999
Wed Feb 14 16:37:59 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,143.737548828125,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.07875,0.0,74.08500000000001,118.32271575927734,180.99810791015625,20.0,1,8,0,1,15.0005,14.999,14.999
Wed Feb 14 16:38:09 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,147.09619140625,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.0675,0.0,74.10000000000001,121.4330062866211,186.13873291015625,20.0,1,8,0,1,15.0005,14.999,14.998
Wed Feb 14 16:38:18 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,150.2047882080078,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.08500000000001,124.47367095947266,191.0128173828125,20.0,1,8,0,1,15.002,14.998,15.0
Wed Feb 14 16:38:28 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,153.06785583496094,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.07124999999999,0.0,74.09625,127.68436431884766,195.97052001953125,20.0,1,8,0,1,15.002,14.996,15.0
Wed Feb 14 16:38:37 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,156.32005310058594,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.0675,0.0,74.0925,130.66204833984375,200.81893920898438,20.0,1,8,0,1,15.00175,15.004,14.999
Wed Feb 14 16:38:47 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,159.69427490234375,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.0675,0.0,74.08500000000001,133.890380859375,205.50143432617188,20.0,1,8,0,1,15.00175,15.001,15.001
Wed Feb 14 16:38:56 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,162.8057403564453,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.0825,0.0,74.0925,136.965087890625,210.21682739257812,20.0,1,8,0,1,15.00025,14.998,14.999
Wed Feb 14 16:39:06 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,165.68878173828125,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.0675,0.0,74.09625,140.13027954101562,214.81729125976562,20.0,1,8,0,1,15.00025,15.003,15.001
Wed Feb 14 16:39:15 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,168.95326232910156,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.07875,0.0,74.0925,143.2005615234375,219.1485595703125,20.0,1,8,0,1,14.9995,14.999,15.0
Wed Feb 14 16:39:25 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,172.33837890625,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.06375,0.0,74.08500000000001,146.44921875,223.72659301757812,20.0,1,8,0,1,14.9995,14.997,15.0
Wed Feb 14 16:39:34 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,175.2928466796875,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.06375,0.0,74.0925,149.53182983398438,227.9151611328125,20.0,1,8,0,1,15.000499999999999,15.002,15.001
Wed Feb 14 16:39:43 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,178.6408233642578,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.09625,152.68942260742188,232.27468872070312,20.0,1,8,0,1,15.000499999999999,15.002,15.0
Wed Feb 14 16:39:53 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,181.580322265625,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.0925,155.767822265625,236.30670166015625,20.0,1,8,0,1,15.00375,14.999,15.0
Wed Feb 14 16:40:02 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,184.9732208251953,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.0675,0.0,74.08875,159.00804138183594,240.53121948242188,20.0,1,8,0,1,15.00375,15.005,15.001
Wed Feb 14 16:40:12 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,188.07437133789062,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.07124999999999,0.0,74.09625,162.06564331054688,244.49783325195312,20.0,1,8,0,1,15.0,15.004,14.999
Wed Feb 14 16:41:37 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,216.25648498535156,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.10374999999999,189.83010864257812,277.8091735839844,20.0,2,8,0,1,15.00025,14.996,14.999
Wed Feb 14 16:41:46 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,219.61155700683594,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.07875,0.0,74.10374999999999,192.9829559326172,281.0082702636719,20.0,2,8,0,1,15.00025,15.005,14.999
