Time,1,2,3,4
Wed Feb 14 18:36:13 2024,15.0,14.999,15.001,15.0
Wed Feb 14 18:36:33 2024,14.998,14.988,14.998,15.002
Wed Feb 14 18:36:52 2024,15.02,15.008,14.998,14.996
Wed Feb 14 18:37:12 2024,15.002,14.995,15.001,15.002
Wed Feb 14 18:37:31 2024,14.995,14.994,15.0,15.002
Wed Feb 14 18:37:51 2024,15.0,14.997,15.0,14.997
Wed Feb 14 18:39:16 2024,15.008,14.991,14.999,14.999
Wed Feb 14 18:39:35 2024,15.0,14.999,15.002,15.001
Wed Feb 14 18:39:54 2024,14.998,15.03,15.0,14.997
Wed Feb 14 18:40:13 2024,15.014,15.008,15.002,15.0
Wed Feb 14 18:40:33 2024,14.989,14.993,15.004,15.001
Wed Feb 14 18:40:52 2024,15.0,14.998,14.998,14.998
Wed Feb 14 18:41:11 2024,15.0,15.009,15.004,14.998
Wed Feb 14 18:41:30 2024,15.0,15.005,14.998,15.0
Wed Feb 14 18:41:49 2024,15.442,15.002,15.001,15.0
Wed Feb 14 18:42:09 2024,15.177,15.005,15.001,15.001
