Time,Current SP,R1,R2,R3,R4,R5,R6
Tue May  7 09:51:02 2024,25.0,24.091644287109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:51:10 2024,25.0,24.028167724609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:51:15 2024,25.0,23.995452880859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:51:21 2024,25.0,23.999847412109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:51:28 2024,25.0,23.915313720703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:51:34 2024,25.0,24.021820068359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:51:40 2024,25.0,23.97198486328125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:51:47 2024,25.0,24.065277099609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:51:53 2024,25.0,24.078460693359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:51:59 2024,25.0,23.99395751953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:52:06 2024,25.0,23.99835205078125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:52:12 2024,25.0,24.076507568359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:52:18 2024,25.0,24.01348876953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:52:23 2024,25.0,24.135101318359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:52:29 2024,25.0,23.959259033203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:52:35 2024,25.0,24.05499267578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:52:41 2024,25.0,24.10284423828125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:52:46 2024,25.0,24.08331298828125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:52:52 2024,25.0,24.06817626953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:52:58 2024,25.0,23.970001220703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:53:04 2024,25.0,24.01788330078125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:53:09 2024,25.0,24.01983642578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:53:15 2024,25.0,23.913360595703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:53:21 2024,25.0,23.99835205078125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:53:27 2024,25.0,23.97637939453125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:53:33 2024,25.0,23.930938720703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
