,Unnamed: 0,Catalyst,Reaction,Tube,Date,Mass Catalyst,Mass Diluent,k_d,Y0,lifetime_yield,Y_pc,sqrtY0Y_pc,Pt,Sn,Ga,Fe,Cu,Ca,Mn,Zn
85,99,Pt1Sn3Ga0.5Fe3.5Cu1.5Ca4,24-049,4,2024-06-19,20.2,120.0,0.0010769186185151,0.2942375204739882,273.22168585003146,62.22909185739213,4.279034200548893,1,3.0,0.5,3.5,1.5,4.0,0,0
86,100,Pt1Sn3Fe2Cu0.5Ca3,24-049,5,2024-06-19,20.1,119.9,0.0013628933099959,0.2749022931878463,201.7049252290067,56.272511411217934,3.93312120718178,1,3.0,0.0,2.0,0.5,3.0,0,0
87,101,Pt1Sn3Ga1Fe2.5Cu1.5Ca4,24-049,6,2024-06-19,20.2,120.1,0.000926427894069,0.2764047676743113,298.3554029880246,59.479852086748735,4.054690456414668,1,3.0,1.0,2.5,1.5,4.0,0,0
88,102,Pt1Sn4Ca4 (HD),24-050,1,2024-06-20,20.0,120.0,0.0013646742817258,0.2502934801141505,183.40895220624725,51.22473382037448,3.580672687613677,1,4.0,0.0,0.0,0.0,4.0,0,0
89,107,Pt1Sn4Ca4 (YC),24-050,6,2024-06-20,20.0,119.8,0.0004145799353085,0.3181338635889683,767.3643524311148,72.67654975217069,4.808416742023713,1,4.0,0.0,0.0,0.0,4.0,0,0
90,108,Pt1Sn4Ca4 (#3),24-051,1,2024-06-24,20.2,119.8,0.0009721908055939,0.3140952854347258,323.07987652983564,67.23436414694815,4.595432166593037,1,4.0,0.0,0.0,0.0,4.0,0,0
91,109,Pt1Sn4Ca4 (#2),24-051,2,2024-06-24,20.1,120.2,0.0008111113498804,0.3019042639318528,372.2106267855376,65.84073424135092,4.458430038462843,1,4.0,0.0,0.0,0.0,4.0,0,0
92,110,Pt1Sn4Ca4 (#1),24-051,3,2024-06-24,19.9,120.0,0.0004875020968038,0.3273259744859508,671.4350084480975,74.13666734138468,4.926140160679505,1,4.0,0.0,0.0,0.0,4.0,0,0
93,111,Pt1Sn4Ca4 (#3),24-051,4,2024-06-24,20.1,119.9,0.0008501996471427,0.3091324256987417,363.5998047489669,67.11205244931803,4.554833868241394,1,4.0,0.0,0.0,0.0,4.0,0,0
94,112,Pt1Sn4Ca4 (#2),24-051,5,2024-06-24,20.0,119.9,0.0008267676019593,0.3030460159344125,366.5431678941107,65.9697407334374,4.471226576846037,1,4.0,0.0,0.0,0.0,4.0,0,0
95,113,Pt1Sn4Ca4 (#3),24-051,6,2024-06-24,20.0,119.8,0.0007480338343931,0.3047919190713428,407.4573970555659,66.9597348290653,4.517608446850949,1,4.0,0.0,0.0,0.0,4.0,0,0
96,114,Pt1Sn1Fe1Ca4,24-052,1,2024-06-25,20.2,120.1,0.0014907974255678,0.3200504726207758,214.68407922617493,64.57290720085675,4.546052074947195,1,1.0,0.0,1.0,0.0,4.0,0,0
97,115,Pt1Sn4Cu4Ca1,24-052,2,2024-06-25,19.9,120.0,0.0006711994814059,0.3176927261277777,473.3208754308168,70.42197360025543,4.729962872197153,1,4.0,0.0,0.0,4.0,1.0,0,0
98,116,Pt1Sn1Fe1Cu1Ca4,24-052,3,2024-06-25,20.2,119.8,0.0018590863810682,0.3244781407225923,174.53634431776658,62.8212013156956,4.514876144577676,1,1.0,0.0,1.0,1.0,4.0,0,0
99,117,Pt1Sn1Cu1Ca4,24-052,4,2024-06-25,20.1,119.9,0.0019278224618822,0.3168244159135845,164.3431499414337,60.87340726336965,4.391603545504403,1,1.0,0.0,0.0,1.0,4.0,0,0
100,118,Pt1Sn4Fe1Ca4,24-052,5,2024-06-25,19.9,119.9,0.000620480914568,0.3179517949688403,512.4280014159499,70.89851857979981,4.747874392091584,1,4.0,0.0,1.0,0.0,4.0,0,0
101,119,Pt1Sn8Fe1Ca1,24-052,6,2024-06-25,19.9,119.8,0.0006450112816304,0.1638869344452405,254.0838263029569,36.43964579492911,2.443763867807472,1,8.0,0.0,1.0,0.0,1.0,0,0
102,120,Pt1Sn1Fe1Ca4,24-053,1,2024-07-01,20.0,120.0,0.0017181628013693,0.3147216475566723,183.1733566259473,61.89675069914132,4.413643320255769,1,1.0,0.0,1.0,0.0,4.0,0,0
103,121,Pt1Sn4Cu4Ca1,24-053,2,2024-07-01,19.9,120.0,0.0006689377041476,0.3141178564396043,469.5771437189975,69.64793768631505,4.677356186080382,1,4.0,0.0,0.0,4.0,1.0,0,0
104,122,Pt1Sn1Fe1Cu1Ca4,24-053,3,2024-07-01,19.8,119.9,0.0024056780351971,0.3047451626713459,126.67745151789228,55.56365402535195,4.114942865286257,1,1.0,0.0,1.0,1.0,4.0,0,0
105,123,Pt1Sn1Cu1Ca4,24-053,4,2024-07-01,20.0,119.8,0.0018380322540646,0.3136229124621344,170.62971107748058,60.86182219840445,4.368942885368975,1,1.0,0.0,0.0,1.0,4.0,0,0
106,124,Pt1Sn4Fe1Ca4,24-053,5,2024-07-01,19.9,119.9,0.0006212734347668,0.3131762287178925,504.087590410849,69.8271622043976,4.676345509181909,1,4.0,0.0,1.0,0.0,4.0,0,0
107,125,Pt1Sn8Fe1Ca1,24-053,6,2024-07-01,20.0,119.9,0.0006732573036968,0.2061788017708278,306.2407205071743,45.69204233320052,3.069320859525968,1,8.0,0.0,1.0,0.0,1.0,0,0
108,126,Pt1Sn8Fe1Ca1,24-054,1,2024-07-03,20.2,120.1,0.0009350525414057,0.2169536616009271,232.0229634099136,46.640003869079855,3.180993495195846,1,8.0,0.0,1.0,0.0,1.0,0,0
109,127,Pt1Sn1Fe1Ca4,24-054,2,2024-07-03,20.0,120.2,0.0009968383914165,0.318277953066033,319.28741489756715,67.93638933702269,4.650016659850226,1,1.0,0.0,1.0,0.0,4.0,0,0
110,128,Pt1Sn4Cu4Ca1,24-054,3,2024-07-03,20.1,120.0,0.0007893241386337,0.3244075155506021,410.9940386621507,70.9276305050275,4.796817319434529,1,4.0,0.0,0.0,4.0,1.0,0,0
111,129,Pt1Sn1Fe1Cu1Ca4,24-054,4,2024-07-03,20.0,119.9,0.002042585421127,0.3270281536507503,160.1050072463052,62.042079330833765,4.504387489128344,1,1.0,0.0,1.0,1.0,4.0,0,0
112,130,Pt1Sn1Cu1Ca4,24-054,5,2024-07-03,19.9,119.8,0.001924359862586,0.3162245739682774,164.3271511303054,60.78146804934924,4.3841297698713175,1,1.0,0.0,0.0,1.0,4.0,0,0
113,131,Pt1Sn4Fe1Ca4,24-054,6,2024-07-03,20.1,120.1,0.0006196566914811,0.3035075146559985,489.7994628776263,67.68418715770144,4.532401066294268,1,4.0,0.0,1.0,0.0,4.0,0,0
114,132,Pt1Sn1Ga1,24-055,1,2024-07-09,20.2,119.9,0.0031063165692701,0.3134839257679563,100.9182157636972,53.03359097431739,4.077398471599394,1,1.0,1.0,0.0,0.0,0.0,0,0
115,134,Pt1Sn4Ga4Fe1Ca1,24-055,3,2024-07-09,19.9,120.1,0.0009744612791153,0.26480667842989,271.7467426415209,56.668940661733714,3.8737983874711706,1,4.0,4.0,1.0,0.0,1.0,0,0
116,135,Pt1Sn1Cu4Ca1,24-055,4,2024-07-09,20.0,120.2,0.0025522138157997,0.2910945595663406,114.05571028739288,52.240113985704966,3.899591385307468,1,1.0,0.0,0.0,4.0,1.0,0,0
